lon,lat,state,county_nam,fips,PST045214,PST040210,PST120214,POP010210,AGE135214,AGE295214,AGE775214,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010214,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,POP060210,AFFGEOID_1,combined_f,Demvotes16,GOPvotes16,total_2016,pct_dem_16,pct_gop_16,diff_2016,pct_pt_16,total_2012,Demvotes12,GOPvotes12,county_fip,state_fips,pct_dem_12,pct_gop_12,diff_2012,pct_pt_12
-105.35423,40.0936467,CO,Boulder County,8013,313333,294571,6.4,294567,5,20.3,12.2,49.8,90.8,1.1,0.8,4.5,0.1,2.6,13.8,78.3,76.2,10.9,16.5,93.9,58.3,15432,22.7,130938,63.1,28.9,350900,120521,2.42,38011,67956,14.2,11696,139136,0.9,35710,42506,0.5,0.5,2.4,0,3.5,30.2,3855872,2782109,4039254,13660,668939,1371,726.29,405.6,0500000US08013,8013,124715,38766,176735,0.70566102,0.21934535,85949,0.48631567,173207,120485,48526,13,8,0.69561276,0.28016189,71959,0.41545088
-107.87667,38.8464675,CO,Delta County,8029,29870,30952,-3.5,30952,5.1,20.9,23.5,50.1,95.2,0.7,1.3,0.8,0.1,1.8,14.7,82.2,85.6,4.5,9.8,87.8,18.3,3493,24.8,14485,75.7,5.7,191200,12671,2.33,24771,42078,15.5,818,6620,-1.1,2656,4029,0,0,0,0,0,0,141382,60887,312871,10353,26912,47,1142.05,27.1,0500000US08029,8029,4048,11584,16661,0.24296261,0.69527639,7536,-0.4523138,15681,4542,10762,29,8,0.2896499,0.68630827,6220,-0.3966584
-105.24855,39.5905302,CO,Jefferson County,8059,558503,534583,4.5,534543,5.3,20.9,14.7,50.3,92.2,1.3,1.2,2.8,0.1,2.3,15.2,78.8,84.1,6.2,10.3,93.7,40.7,42215,26.2,233275,70.6,25.1,262400,219562,2.42,36087,68984,8.6,16222,188932,0.4,51004,62249,0.6,0.6,2.7,0,5.2,30.2,6566636,2514091,7282158,13782,960467,2519,764.21,699.5,0500000US08059,8059,151885,130233,309529,0.49069716,0.42074571,21652,0.06995144,300151,153069,139960,59,8,0.50997331,0.46629863,13109,0.04367468
-107.77147,38.1547308,CO,Ouray County,8091,4629,4434,4.4,4436,3.4,17,24.6,50.9,96.8,0.2,0.5,0.6,0.1,1.8,5.5,91.9,79.8,2.9,6.4,98.4,47.5,551,22.8,3151,75.4,10.6,383900,1943,2.3,33015,64601,5.6,263,963,4,873,1117,0,0,0,0,0,26.5,0,1022,26977,6131,21247,33,541.59,8.2,0500000US08091,8091,1690,1337,3287,0.51414664,0.40675388,353,0.10739276,3183,1640,1470,91,8,0.5152372,0.46182846,170,0.05340873
-105.64678,39.6870625,CO,Clear Creek County,8019,9187,9088,1.1,9088,3.8,15.4,17.9,48,95.3,0.9,1.2,0.8,0.1,1.6,5.5,90.7,88.6,4,4.3,96.6,39.8,903,32.6,5690,81.3,10.5,268500,4024,2.21,41716,67259,10.2,327,2574,5.4,978,1193,0,0,0,0,0,0,0,6955,73119,8185,25036,11,395.23,23,0500000US08019,8019,2585,2426,5532,0.46728127,0.43853941,159,0.02874187,5610,3041,2381,19,8,0.54206774,0.42442068,660,0.11764706
-105.43589,37.2763065,CO,Costilla County,8023,3568,3524,1.2,3524,3.9,18.2,25.8,47.6,88.3,1.9,5.6,1.4,0.4,2.4,64.3,32,91.9,10.3,50.1,76.5,19.5,445,20.1,2686,79.6,2.4,93800,1361,2.61,20742,29145,22.2,42,255,19.7,241,370,0,0,0,0,0,0,0,0,5702,1726,0,30,1226.95,2.9,0500000US08023,8023,1109,581,1820,0.60934066,0.31923077,528,0.29010989,1804,1317,440,23,8,0.73004435,0.24390244,877,0.48614191
-104.87051,39.7610054,CO,Denver County,8031,663862,600025,10.6,600158,6.8,20.9,10.9,50,80.7,10.2,2,3.8,0.2,3.1,30.8,53.4,77.3,15.8,26.9,85.4,42.9,34001,24.6,298864,50.2,45.7,249100,266069,2.27,33251,50313,19.1,22834,399744,2.2,59296,67500,4.3,1.1,3.7,0,8.7,30.2,5189894,14920938,6835351,11810,2279048,5958,153,3922.6,0500000US08031,8031,174611,43637,232291,0.75169077,0.18785489,130974,0.56383588,285564,209759,69755,31,8,0.73454287,0.24427099,140004,0.49027188
-104.96091,37.6854218,CO,Huerfano County,8055,6462,6711,-3.7,6711,3.8,15.5,29.7,49.6,89.3,1,5.4,1.1,0.2,3,34.4,61.7,81.3,4.8,14.9,84.7,28,832,22.9,5128,72.5,7.5,152400,3059,2,24058,33298,20.6,156,1188,0.3,580,938,0,0,0,0,0,0,0,0,55321,7180,9712,13,1591,4.2,0500000US08055,8055,1631,1875,3772,0.43239661,0.49708378,244,-0.0646872,3623,1897,1615,55,8,0.52359923,0.44576318,282,0.07783605
-105.72003,39.1194586,CO,Park County,8093,16345,16201,0.9,16206,3.7,16.7,16.2,47.3,94.6,0.6,1.3,1.1,0,2.3,6.2,89.5,87,3.4,3.8,95.6,32,1992,44.2,14171,88.5,1.2,247300,7038,2.27,31504,61570,9.1,434,1196,2.3,1720,2313,0,0,0,0,0,28,0,3435,55409,3266,11083,88,2193.85,7.4,0500000US08093,8093,3351,6053,10245,0.32708638,0.59082479,2702,-0.2637384,9054,3721,5085,93,8,0.41097857,0.56163022,1364,-0.1506516
-106.39107,37.5726711,CO,Rio Grande County,8105,11607,11982,-3.1,11982,6.3,23.9,18.6,50.1,93.4,0.7,3.3,0.5,0,2,44.2,53,83.3,7,25,84.1,20.3,1000,19,6617,67.4,10.1,129500,4722,2.46,20557,38993,19.2,348,2646,1.8,1017,1791,0,0,0,0,16.1,24.6,0,218177,110165,9480,14191,12,911.96,13.1,0500000US08105,8105,1985,3060,5488,0.36169825,0.55758018,1075,-0.1958819,5453,2428,2892,105,8,0.44525949,0.53035027,464,-0.0850908
